ID,ID_icon,card_power,Name,name_es,name_de,name_fr,Type,Rarity,Value,Description,Description_text,Special Effect,AI_Visual_Description,AI_full,AI_Visual_Description_icon,AI_icon,Name_espanol,Description_espanol
sword,sword_icon,1,Iron Sword,Espada de hierro,Eisenschwert,Épée de fer,attack,common,8,Deal 8 physical damage,Slash damage,,A sharp slightly worn iron broadsword with a leather-wrapped hilt resting against a cold stone background cinematic lighting.,,A sharp slightly worn iron broadsword with a leather-wrapped hilt resting against a cold stone background cinematic lighting.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
shield,shield_icon,1,Shield,Escudo,Schild,Bouclier,armor,common,5,Add 5 armor until next damage,Block damage,,A sturdy round wooden shield reinforced with rusted iron bands and a central metal boss showing battle scuffs.,,A sturdy round wooden shield reinforced with rusted iron bands and a central metal boss showing battle scuffs.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
heart,heart_icon,1,Health,Salud,Gesundheit,Santé,heal,common,15,Restore 15 health,Restore HP,,A glowing vibrant red heart-shaped gemstone floating in a soft ethereal mist radiating warmth.,,A glowing vibrant red heart-shaped gemstone floating in a soft ethereal mist radiating warmth.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
bandage,bandage_icon,1,Bandage,Venda,Verband,Bandage,heal,common,8,Restore 8 health,Small Heal,,A roll of weathered linen cloth with faint herbal stains and frayed edges sitting on a wooden table.,,A roll of weathered linen cloth with faint herbal stains and frayed edges sitting on a wooden table.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
dagger,dagger_icon,1,Dagger,Daga,Dolch,Dague,attack,common,6,Deal 6 physical damage,Quick Stab,,A sleek double-edged steel stiletto with a dark obsidian pommel glinting in the moonlight.,,A sleek double-edged steel stiletto with a dark obsidian pommel glinting in the moonlight.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
frost,frost_icon,1,Frost,Escarcha,Frost,Givre,attack_ice,common,8,Deal 8 ice damage,Ice Dmg + Slow,Slow,A jagged shard of translucent blue ice encased in a swirling aura of freezing white vapor.,,A jagged shard of translucent blue ice encased in a swirling aura of freezing white vapor.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
scroll,scroll_icon,1,Magic Scroll,Pergamino mágico,Magische Schriftrolle,Parchemin magique,attack_magic,common,12,Magic Damage,Magic Damage,,An ancient yellowed parchment scroll partially unrolled revealing glowing blue arcane runes and magical sparks.,,An ancient yellowed parchment scroll partially unrolled revealing glowing blue arcane runes and magical sparks.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
trap,trap_icon,1,Spike Trap,Trampa de pinchos,Stachelfalle,Piège à pointes,trap,common,15,Take 15 damage,Self Damage,,A mechanical floor plate with sharp spring-loaded iron spikes protruding upwards shadowed and dangerous.,,A mechanical floor plate with sharp spring-loaded iron spikes protruding upwards shadowed and dangerous.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
axe,axe_icon,1,Battle Axe,Hacha de batalla,Streitaxt,Hache de bataille,attack,common,14,Deal 14 physical damage,Heavy Damage,,A massive double-headed greataxe with a notched blade and a thick oak handle wrapped in fur.,,A massive double-headed greataxe with a notched blade and a thick oak handle wrapped in fur.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
potion,potion_icon,2,Potion,Poción,Trank,Potion,heal_large,common,30,Big Heal,Big Heal,,A round glass flask filled with a bubbling iridescent green liquid emitting a soft restorative glow.,,A round glass flask filled with a bubbling iridescent green liquid emitting a soft restorative glow.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
wall,wall_icon,2,Stone Wall,Muro de piedra,Steinmauer,Mur de pierre,armor,common,12,Add 12 armor until next damage,Heavy Block,,A solid section of interlocking granite blocks moss-covered and impenetrable under a gray sky.,,A solid section of interlocking granite blocks moss-covered and impenetrable under a gray sky.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
fire,fire_icon,2,Fireball,Bola de fuego,Feuerball,Boule de feu,attack_fire,common,30,Deal 30 fire damage,High Damage,Burn,A roaring sphere of concentrated orange and yellow flames trailing embers and intense heat distortion.,,A roaring sphere of concentrated orange and yellow flames trailing embers and intense heat distortion.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
bomb,bomb_icon,2,Bomb,Bomba,Bombe,Bombe,trap,common,25,Take 25 damage,Huge Self Dmg,,A spherical black iron explosive with a sputtering burning fuse and a rough metallic texture.,,A spherical black iron explosive with a sputtering burning fuse and a rough metallic texture.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
charge,charge_icon,2,Overcharge,Sobrecarga,Überladung,Surcharge,prepare,common,0,Double Next Hit,Double Next Hit,Charge,A surging bolt of crackling white electricity contained within a glass battery casing.,,A surging bolt of crackling white electricity contained within a glass battery casing.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
ale,ale_icon,2,Mug of Ale,Jarra de cerveza,Krug Bier,Chope de bière,heal,common,5,Restore 5 health,A bit of liquid courage,,A foaming wooden tankard of amber ale with condensation on the side and a thick head of froth.,,A foaming wooden tankard of amber ale with condensation on the side and a thick head of froth.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
bread,bread_icon,2,Fresh Bread,Pan fresco,Frisches Brot,Pain frais,heal,common,10,Restore 10 health,Filling and warm,,A rustic loaf of crusty brown bread sliced open to reveal a soft steaming interior on a linen cloth.,,A rustic loaf of crusty brown bread sliced open to reveal a soft steaming interior on a linen cloth.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
holy_water,holy_water_icon,2,Holy Water,Agua bendita,Weihwasser,Eau bénite,heal,common,20,Restore 20 health,Purifies the soul,,A crystal vial containing shimmering silvery water that reflects tiny floating crosses in the light.,,A crystal vial containing shimmering silvery water that reflects tiny floating crosses in the light.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
apple,apple_icon,2,Red Apple,Manzana roja,Roter Apfel,Pomme rouge,heal,common,4,Restore 4 health,Crunchy and sweet,,A polished bright red apple with a single green leaf sitting on a dark wooden surface.,,A polished bright red apple with a single green leaf sitting on a dark wooden surface.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
iron_shield,iron_shield_icon,3,Iron Shield,Escudo de hierro,Eisenschild,Bouclier de fer,armor,common,10,Add 10 armor until next damage,Heavy metal defense,,A heavy kite-shaped shield made of polished steel with decorative rivets and a mirror-like finish.,,A heavy kite-shaped shield made of polished steel with decorative rivets and a mirror-like finish.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
moon_essence,moon_essence_icon,3,Moon Essence,Esencia lunar,Mondessenz,Essence de lune,prepare,common,0,Glowing celestial energy,Glowing celestial energy,Charge,A floating orb of cool pale moonlight trapped in a silver filigree cage.,,A floating orb of cool pale moonlight trapped in a silver filigree cage.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
healing_herb,healing_herb_icon,3,Healing Herb,Hierba curativa,Heilkraut,Herbe médicinale,heal,common,12,Restore 12 health,Natural forest remedy,,A bundle of dried lavender and green herbs tied with a simple twine string smelling of nature.,,A bundle of dried lavender and green herbs tied with a simple twine string smelling of nature.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
poison_ivy,poison_ivy_icon,3,Poison Ivy,Hiedra venenosa,Giftefeu,Lierre vénéneux,trap,common,10,Take 10 damage,Itches and burns,Poison,A cluster of oily green leaves with serrated edges and tiny toxic thorns glistening with dew.,,A cluster of oily green leaves with serrated edges and tiny toxic thorns glistening with dew.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
hand_axe,hand_axe_icon,3,Hand Axe,Hacha de mano,Handbeil,Hachette,attack,common,10,Deal 10 physical damage,Chops wood and foes,,A small versatile hatchet with a polished steel blade and a curved hickory handle.,,A small versatile hatchet with a polished steel blade and a curved hickory handle.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
arrow_bundle,arrow_bundle_icon,3,Arrow Bundle,Haz de flechas,Pfeilbündel,Paquet de flèches,attack,common,12,Deal 12 physical damage,A volley of sharp tips,,A quiver full of fletched arrows with barbed flint heads arranged neatly.,,A quiver full of fletched arrows with barbed flint heads arranged neatly.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
leather_scraps,leather_scraps_icon,3,Leather Scraps,Retales de cuero,Lederreste,Chutes de cuir,armor,common,3,Add 3 armor until next damage,Basic protection bits,,Several pieces of rugged brown leather stitched together with thick cord showing raw edges.,,Several pieces of rugged brown leather stitched together with thick cord showing raw edges.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
oak_staff,oak_staff_icon,3,Oak Staff,Bastón de roble,Eichenstab,Bâton de chêne,attack_magic,common,15,Focuses magical intent,Focuses magical intent,,A long gnarled staff of dark oak wood topped with a glowing amber crystal.,,A long gnarled staff of dark oak wood topped with a glowing amber crystal.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
fairy_dust,fairy_dust_icon,3,Fairy Dust,Polvo de hadas,Feenstaub,Poussière de fée,heal,common,25,Restore 25 health,Sparkling recovery,Purify,A small pouch spilling out glowing multicolored glitter that floats upward in defiance of gravity.,,A small pouch spilling out glowing multicolored glitter that floats upward in defiance of gravity.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
pelt,pelt_icon,4,Thick Pelt,Piel gruesa,Dickes Fell,Peau épaisse,armor,common,6,Add 6 armor until next damage,Animal hide for warmth,,A heavy brown bear fur rug with thick lining and realistic texture used for insulation.,,A heavy brown bear fur rug with thick lining and realistic texture used for insulation.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
dried_meat,dried_meat_icon,4,Dried Meat,Carne seca,Trockenfleisch,Viande séchée,heal,common,15,Restore 15 health,Salty dungeon rations,,Strips of dark cured jerky hanging from a hook looking tough and savory.,,Strips of dark cured jerky hanging from a hook looking tough and savory.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
frozen_berries,frozen_berries_icon,4,Frozen Berries,Bayas congeladas,Gefrorene Beeren,Baies givrées,heal,common,6,Restore 6 health,A chilling snack,Chill,A handful of bright red berries covered in a delicate layer of white frost and ice crystals.,,A handful of bright red berries covered in a delicate layer of white frost and ice crystals.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
giant_club,giant_club_icon,4,Giant Club,Garrote gigante,Riesenkeule,Gourdin géant,attack,common,18,Deal 18 physical damage,Crushing weight,Stun,A massive crude wooden log with embedded stones and a handle wrapped in rough rope.,,A massive crude wooden log with embedded stones and a handle wrapped in rough rope.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
ice_shard,ice_shard_icon,4,Ice Shard,Fragmento de hielo,Eissplitter,Éclat de glace,attack_ice,common,10,Deal 10 ice damage,Frozen projectile,Slow,A long needle-like icicle reflecting cold light with sharp jagged edges.,,A long needle-like icicle reflecting cold light with sharp jagged edges.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
climbing_pick,climbing_pick_icon,4,Climbing Pick,Pico de escalada,Kletterpickel,Piolet d'escalade,attack,common,9,Deal 9 physical damage,Sharp and hooked,,A specialized mountain climbing axe with a hooked beak and a serrated underside.,,A specialized mountain climbing axe with a hooked beak and a serrated underside.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
blanket,blanket_icon,4,Wool Blanket,Manta de lana,Wolldecke,Couverture en laine,heal,common,5,Restore 5 health,Rest more effectively,,A thick folded wool blanket with a red and gray plaid pattern looking warm and cozy.,,A thick folded wool blanket with a red and gray plaid pattern looking warm and cozy.. Icon. Simple representation. 8 bit color. 64x64 size. White background,,,
