Chapter,ID,Name,Type,Description,AI_Image_Prompt
1,area_1_1,Fisherman's Cove,Subarea,"A sandy inlet littered with sea-glass and driftwood.","Cinematic dark fantasy: A secluded sandy inlet at dawn, piles of sea-glass and bleached driftwood, turquoise water with heavy mist, Seriphos coastline."
1,area_1_2,The Jagged Reefs,Subarea,"Volcanic black rocks jutting from the surf.","Cinematic dark fantasy: Sharp volcanic black rocks jutting from white surf, low-angle shot, crashing waves, ship wreckage caught in stones."
1,area_1_3,Dictys' Humble Hut,Subarea,"A salt-encrusted stone shack on a cliffside.","Cinematic dark fantasy: A small stone shack on a cliffside, drying fishing nets, warm light flickering from a window, weathered and humble."
1,area_1_4,The Shifting Tidepool,Subarea,"A swirling pool reflecting ancient treasures.","Cinematic dark fantasy: A swirling crystal-clear pool in a limestone basin, reflecting a golden storm in the sky above, ethereal glow."
1,area_1_5,The Sunken Pier,Subarea,"Decayed wooden structure half-submerged.","Cinematic dark fantasy: Decayed wooden beams submerged in clear water, pillars covered in green barnacles and kelp, schools of fish."
1,area_1_6,The Salt-Marshes,Subarea,"Labyrinth of tall sea-grass and briny pools.","Cinematic dark fantasy: Labyrinth of tall golden sea-grass, shallow briny pools, atmospheric ground fog, silhouettes of gnarled trees."
1,area_1_7,Lighthouse of Whispers,Subarea,"Stone tower with a ghostly blue light.","Cinematic dark fantasy: Abandoned stone lighthouse, a ghostly blue light beam cutting through fog, crumbling spiral stairs."
1,area_1_8,Net-Mender's Yard,Subarea,"Workspace with large wooden looms and netting.","Cinematic dark fantasy: Outdoor workshop, large wooden looms with unfinished hemp nets, piles of lead sinkers, shadows of the sun."
1,area_1_9,Grotto of Danae,Subarea,"Hidden cave behind a waterfall with a golden glow.","Cinematic dark fantasy: Cave interior behind a waterfall, damp walls glowing with faint golden dust, single shaft of light on the floor."
1,area_1_10,The Smuggler's Run,Subarea,"Narrow cliffside path with memory-mist.","Cinematic dark fantasy: Narrow cliffside path, steep drops to the ocean, memory-mist acting as a physical wall of white smoke."
1,item_001,The Harpe,Item,"A curved adamantine sickle-sword, notched and rusted.","Cinematic dark fantasy: A curved adamantine sickle-sword, notched and rusted, leather-wrapped hilt, faint glowing Greek runes."
1,item_005,The Ark of Danae,Item,"A weathered cedar chest with rusted iron bands.","Cinematic dark fantasy: Weathered cedar chest, rusted iron bands, carvings of golden rain revealed beneath layers of rot."
1,item_010,Anchor of Danae,Item,"A bronze locket containing a braid of hair.","Cinematic dark fantasy: Small bronze heart locket, containing a braid of golden hair, radiating soft warmth."
1,item_020,Savior's Snare,Item,"A sturdy net reinforced with lead weights.","Cinematic dark fantasy: Heavy fishing net, lead weights shaped like fish, golden threads woven into coarse hemp."
1,char_001,Fisher,Character,"Real Name: Perseus. A rugged man with amnesia living as a simple fisherman.","Cinematic dark fantasy: A muscular man with salt-and-pepper hair, wearing simple linen tunics, eyes glowing with a faint golden light, standing on a misty shore."
1,char_007,The Net-Maker,Character,"Real Name: Dictys. Perseus's adoptive father who hid him from the Titans.","Cinematic dark fantasy: A kind, elderly fisherman with a deeply lined face, silver beard, wearing heavy oilskins and holding a wooden shuttle."
1,char_019,The Apprentice,Character,"Real Name: Glaucus. A young orphan who looks up to 'Fisher' as a mentor.","Cinematic dark fantasy: A small, energetic boy with sun-bleached hair and a wooden owl toy, wearing tattered sandals on a stone dock."
2,area_2_1,The Shadow Grove,Subarea,"Twisted thicket where light is consumed.","Cinematic dark fantasy: A twisted thicket where light is consumed by the canopy, phantoms of petrified victims, deep purples and greys."
2,area_2_2,The Shore of Sacrifice,Subarea,"Bleak beach with rhythmic breathing sounds.","Cinematic dark fantasy: A rocky beach at night, huge crashing waves, the silhouette of a massive sea monster beneath the water."
2,area_2_3,Cassiopeia's Mirror Pond,Subarea,"Stagnant pond reflecting vanity.","Cinematic dark fantasy: A stagnant pond with a mirror-like surface, distorted reflections, surrounding trees draped in weeping vines."
2,area_2_4,The Thicket of Reach,Subarea,"Trees with branches like grasping fingers.","Cinematic dark fantasy: Sentient trees with branches that look like reaching hands, claustrophobic atmosphere, glowing purple sap."
2,area_2_5,The Howling Canopy,Subarea,"Upper forest layer with whistling bark.","Cinematic dark fantasy: Looking up into a dense forest canopy, wind whistling through holes in the bark, birds of prey circling."
2,area_2_6,The Altar of the Sea-Beast,Subarea,"Crumbling stone platform stained with brine.","Cinematic dark fantasy: Ancient stone altar at a cliff's edge, stained with sea salt, view of a dark and violent ocean."
2,area_2_7,The Roots of Hubris,Subarea,"Subterranean roots pulsing with purple light.","Cinematic dark fantasy: Massive glowing tree roots underground, pulsing with purple energy, dark tunnels, bioluminescence."
2,area_2_8,The Petal-Storm Clearing,Subarea,"Space masked by falling white petals.","Cinematic dark fantasy: A forest clearing during a storm of white petals, low visibility, a shimmering female ghost in the center."
