Region,ID,ID_room,type,UID,difficulty_tier,Name,Dialog,Dialog Tree,NPC ID,Enemy,object_id,complete_condition,Event ID,Loot,AI_Visual_Description,AI_scene_prompt,AI_mapicon,AI_maproom,,,
tutorial,tutorial_home,tutorial_home_room,home,z1,0,Beach,,,,,,,,,A small sunlit bedroom with a wooden training sword leaning against a straw mattress. Warm dust motes dance in the light from a single circular window.,,"A small sunlit bedroom with a wooden training sword leaning against a straw mattress. Warm dust motes dance in the light from a single circular window.. background for video game, side scroller, Greek times, realistic cartoon style, Ghibli with high density features. Empty space at the bottom of scene. Landscape. High quality. 4k.","A small sunlit bedroom with a wooden training sword leaning against a straw mattress. Warm dust motes dance in the light from a single circular window. 160x160 pixels. cartoon, watercolour style. png. transparent background",,,
tutorial,tutorial_wharf,tutorial_wharf_room,object,z2,0,Wharf,,,,,chest_default,,,,A weathered wooden pier extending into a calm turquoise bay. Seagulls circle overhead and crates of basic supplies are stacked near the edge.,,"A weathered wooden pier extending into a calm turquoise bay. Seagulls circle overhead and crates of basic supplies are stacked near the edge.. background for video game, side scroller, Greek times, realistic cartoon style, Ghibli with high density features. Empty space at the bottom of scene. Landscape. High quality. 4k.","A weathered wooden pier extending into a calm turquoise bay. Seagulls circle overhead and crates of basic supplies are stacked near the edge. 160x160 pixels. cartoon, watercolour style. png. transparent background",,,
tutorial,tutorial_hut,tutorial_hut_room,object,z3,0,Humbe Lodgings,,,,,chest_default,,,,A cramped interior smelling of dried herbs and old parchment. A simple alchemy station sits beneath a hanging bundle of lavender.,,"A cramped interior smelling of dried herbs and old parchment. A simple alchemy station sits beneath a hanging bundle of lavender.. background for video game, side scroller, Greek times, realistic cartoon style, Ghibli with high density features. Empty space at the bottom of scene. Landscape. High quality. 4k.","A cramped interior smelling of dried herbs and old parchment. A simple alchemy station sits beneath a hanging bundle of lavender. 160x160 pixels. cartoon, watercolour style. png. transparent background",,,
tutorial,tutorial_echo,tutorial_echo_room,object,z4,0,Fishing Village,,,,,chest_default,,,,A shimmering crystalline cave where footsteps produce melodic reverberations. Ethereal blue light pulses from the walls in sync with the player's heartbeat.,,"A shimmering crystalline cave where footsteps produce melodic reverberations. Ethereal blue light pulses from the walls in sync with the player's heartbeat.. background for video game, side scroller, Greek times, realistic cartoon style, Ghibli with high density features. Empty space at the bottom of scene. Landscape. High quality. 4k.","A shimmering crystalline cave where footsteps produce melodic reverberations. Ethereal blue light pulses from the walls in sync with the player's heartbeat. 160x160 pixels. cartoon, watercolour style. png. transparent background",,,
tutorial,tutorial_boss,tutorial_boss_room,boss,z5,1,Memory,,,,pickpocket,,,,,A circular stone arena overgrown with ivy. A large weathered statue stands in the center ready to animate for the final trial.,,"A circular stone arena overgrown with ivy. A large weathered statue stands in the center ready to animate for the final trial.. background for video game, side scroller, Greek times, realistic cartoon style, Ghibli with high density features. Empty space at the bottom of scene. Landscape. High quality. 4k.","A circular stone arena overgrown with ivy. A large weathered statue stands in the center ready to animate for the final trial. 160x160 pixels. cartoon, watercolour style. png. transparent background",,,
town,town_village_gate,town_village_gate_room,event,t1,,Village Gate,"The heavy oak gates stand open, welcoming weary travelers.",,gate_guard,,,,whispering_well,map,"Massive weathered oak gates set into a high stone wall, cobblestone road leading inward, morning mist, warm sunlight filtering through nearby trees, high fantasy style.","2d rpg scroller. cartoon realism. no characters. no icons
background Massive weathered oak gates set into a high stone wall, cobblestone road leading inward, morning mist, warm sunlight filtering through nearby trees, high fantasy style.","Massive weathered oak gates set into a high stone wall, cobblestone road leading inward, morning mist, warm sunlight filtering through nearby trees, high fantasy style.. background for video game, side scroller, Greek times, realistic cartoon style, Ghibli with high density features. Empty space at the bottom of scene. Landscape. High quality. 4k.","Massive weathered oak gates set into a high stone wall, cobblestone road leading inward, morning mist, warm sunlight filtering through nearby trees, high fantasy style. 160x160 pixels. cartoon, watercolour style. png. transparent background",,,
town,town_the_rusty_tankard,town_the_rusty_tankard_room,event,t2,,The Rusty Tankard,,t2_tavern,innkeeper,,,,,ale,"A cozy medieval tavern interior, glowing hearth fire, wooden beams, mugs on heavy tables, warm amber lighting, dusty air motes, inviting atmosphere.","2d rpg scroller. cartoon realism. no characters. no icons
background A cozy medieval tavern interior, glowing hearth fire, wooden beams, mugs on heavy tables, warm amber lighting, dusty air motes, inviting atmosphere.","A cozy medieval tavern interior, glowing hearth fire, wooden beams, mugs on heavy tables, warm amber lighting, dusty air motes, inviting atmosphere.. background for video game, side scroller, Greek times, realistic cartoon style, Ghibli with high density features. Empty space at the bottom of scene. Landscape. High quality. 4k.","A cozy medieval tavern interior, glowing hearth fire, wooden beams, mugs on heavy tables, warm amber lighting, dusty air motes, inviting atmosphere. 160x160 pixels. cartoon, watercolour style. png. transparent background",,,
town,town_blacksmiths_forge,town_blacksmiths_forge_room,event,t3,,Blacksmith's Forge,,t3_forge,blacksmith,,,,,whetstone,"An outdoor forge under a stone lean-to, glowing orange coals, sparks flying from an anvil, racks of iron tools, soot-stained stone, cinematic lighting.","2d rpg scroller. cartoon realism. no characters. no icons
background An outdoor forge under a stone lean-to, glowing orange coals, sparks flying from an anvil, racks of iron tools, soot-stained stone, cinematic lighting.","An outdoor forge under a stone lean-to, glowing orange coals, sparks flying from an anvil, racks of iron tools, soot-stained stone, cinematic lighting.. background for video game, side scroller, Greek times, realistic cartoon style, Ghibli with high density features. Empty space at the bottom of scene. Landscape. High quality. 4k.","An outdoor forge under a stone lean-to, glowing orange coals, sparks flying from an anvil, racks of iron tools, soot-stained stone, cinematic lighting. 160x160 pixels. cartoon, watercolour style. png. transparent background",,,
town,town_apothecary_shop,town_apothecary_shop_room,event,t4,,Apothecary Shop,The air smells of dried herbs and bubbling tonics.,,alchemist,,,,,potion,"A cramped shop filled with glass vials of colorful liquids, hanging dried herbs from the ceiling, a small bubbling cauldron on a counter, mystical purple and green lighting.","2d rpg scroller. cartoon realism. no characters. no icons
background A cramped shop filled with glass vials of colorful liquids, hanging dried herbs from the ceiling, a small bubbling cauldron on a counter, mystical purple and green lighting.","A cramped shop filled with glass vials of colorful liquids, hanging dried herbs from the ceiling, a small bubbling cauldron on a counter, mystical purple and green lighting.. background for video game, side scroller, Greek times, realistic cartoon style, Ghibli with high density features. Empty space at the bottom of scene. Landscape. High quality. 4k.","A cramped shop filled with glass vials of colorful liquids, hanging dried herbs from the ceiling, a small bubbling cauldron on a counter, mystical purple and green lighting. 160x160 pixels. cartoon, watercolour style. png. transparent background",,,
town,town_town_square,town_town_square_room,event,t5,,Town Square,A bustling hub of activity. A stone fountain sits at the center.,,town_crier,,,,,coin,"A wide cobblestone plaza, a grand ornate stone fountain with flowing water at the center, market stalls with colorful awnings, medieval architecture, bright daylight.","2d rpg scroller. cartoon realism. no characters. no icons
background A wide cobblestone plaza, a grand ornate stone fountain with flowing water at the center, market stalls with colorful awnings, medieval architecture, bright daylight.","A wide cobblestone plaza, a grand ornate stone fountain with flowing water at the center, market stalls with colorful awnings, medieval architecture, bright daylight.. background for video game, side scroller, Greek times, realistic cartoon style, Ghibli with high density features. Empty space at the bottom of scene. Landscape. High quality. 4k.","A wide cobblestone plaza, a grand ornate stone fountain with flowing water at the center, market stalls with colorful awnings, medieval architecture, bright daylight. 160x160 pixels. cartoon, watercolour style. png. transparent background",,,
