ID,Name,name_es,name_de,name_fr,Type,Biome,HP,Stagger,Attack,Armor,Loot,loot_power,AI_Visual_Description,AI_reference,AI_idle,AI_talk
pickpocket,Pickpocket,Carterista,Taschendieb,Pickpocket,Enemy,town,12,6,3,0,gold (5-15),1,A lanky hunched figure in tattered soot-stained tunics. Features sharp rat-like facial expressions with oversized nimble fingers and a notched bronze dagger. 2D hand-drawn style with cinematic rim lighting.,,,
training_dummy,Training_Dummy,Muñeco de entrenamiento,Trainingspuppe,Mannequin d'entraînement,Enemy,town,50,25,0,2,wood_splinter,1,A sturdy burlap-and-straw manikin mounted on a heavy spring base. Patched with leather and studded with broken practice arrows. Vibrant cartoon textures with visible stitching.,,,
giant_rat,Giant_Rat,Rata gigante,Riesenratte,Rat géant,Enemy,town,10,5,4,0,"tail, gold (1-3)",1,A hulking rodent with patchy bristly fur and a scarred snout. One milky white eye and elongated yellowed incisors dripping with viscous foam. Realistic fur rendering in a 2D plane.,,,
drunk_patron,Drunk_Patron,Cliente ebrio,Betrunkener Gast,Client ivre,Enemy,town,20,10,5,0,"ale, coin",1,A burly red-faced man in a stained waistcoat swinging a heavy pewter mug. Unsteady stance with exaggerated swaying physics and messy expressive linework.,,,
ruffian,Alley_Ruffian,Rufián del callejón,Gassengauner,Voyou des rues,Enemy,town,25,12.5,6,0,gold (10-20),1,A broad-shouldered thug with a flat nose and heavy brow. Wearing a hood that casts deep shadows over the face; wielding a jagged dirk. Gritty comic-book shading.,,,
cat_thief,Cat_Thief,Ladrón felino,Katzendieb,Chat-voleur,Enemy,town,15,7.5,8,0,lockpick,1,A lithe silhouette in dark indigo leather armor. Large expressive yellow eyes peeking through a cowl; carrying a coil of silken rope. Fluid animation-ready silhouette.,,,
corrupt_clerk,Corrupt_Clerk,Escribano corrupto,Korrupter Beamter,Commis corrompu,Enemy,town,18,9,4,0,"tax_form, gold",1,A spindly man with an oversized collar and ink-stained fingers. Uses a heavy iron-bound ledger as a shield; frantic and paranoid facial expressions.,,,
feral_cat,Feral_Cat,Gato feral,Wildkatze,Chat sauvage,Enemy,town,8,4,7,0,fur,1,A mangy tomcat with a notched ear and a permanent snarl. Arching back with fur standing on end; claws are drawn with sharp dangerous highlights.,,,
loose_armor,Animated_Armor,Armadura animada,Belebte Rüstung,Armure animée,Enemy,town,30,15,5,5,iron_scrap,1,A hollow suit of dented plate mail held together by ethereal blue light. The visor glow is the only focal point; heavy metal textures with realistic scratches.,,,
town_bully,Town_Bully,Matón del pueblo,Stadttyrann,Brute du village,Enemy,town,35,17.5,6,0,stolen_lunch,2,A chubby aggressive youth with a gap-toothed grin and a sleeveless vest. Large heavy fists and a swaggering posture. Exaggerated suburban-fantasy aesthetic.,,,
