ID,Name,Type,Biome,HP,Attack,Armor,Loot,AI_Visual_Description
pickpocket,Pickpocket,Enemy,town,12,3,0,gold (5-15),A lanky hunched figure in tattered soot-stained tunics. Features sharp rat-like facial expressions with oversized nimble fingers and a notched bronze dagger. 2D hand-drawn style with cinematic rim lighting.
training_dummy,Training_Dummy,Enemy,town,50,0,2,wood_splinter,A sturdy burlap-and-straw manikin mounted on a heavy spring base. Patched with leather and studded with broken practice arrows. Vibrant cartoon textures with visible stitching.
giant_rat,Giant_Rat,Enemy,town,10,4,0,"tail, gold (1-3)",A hulking rodent with patchy bristly fur and a scarred snout. One milky white eye and elongated yellowed incisors dripping with viscous foam. Realistic fur rendering in a 2D plane.
drunk_patron,Drunk_Patron,Enemy,town,20,5,0,"ale, coin",A burly red-faced man in a stained waistcoat swinging a heavy pewter mug. Unsteady stance with exaggerated swaying physics and messy expressive linework.
ruffian,Alley_Ruffian,Enemy,town,25,6,0,gold (10-20),A broad-shouldered thug with a flat nose and heavy brow. Wearing a hood that casts deep shadows over the face; wielding a jagged dirk. Gritty comic-book shading.
cat_thief,Cat_Thief,Enemy,town,15,8,0,lockpick,A lithe silhouette in dark indigo leather armor. Large expressive yellow eyes peeking through a cowl; carrying a coil of silken rope. Fluid animation-ready silhouette.
corrupt_clerk,Corrupt_Clerk,Enemy,town,18,4,0,"tax_form, gold",A spindly man with an oversized collar and ink-stained fingers. Uses a heavy iron-bound ledger as a shield; frantic and paranoid facial expressions.
feral_cat,Feral_Cat,Enemy,town,8,7,0,fur,A mangy tomcat with a notched ear and a permanent snarl. Arching back with fur standing on end; claws are drawn with sharp dangerous highlights.
loose_armor,Animated_Armor,Enemy,town,30,5,5,iron_scrap,A hollow suit of dented plate mail held together by ethereal blue light. The visor glow is the only focal point; heavy metal textures with realistic scratches.
town_bully,Town_Bully,Enemy,town,35,6,0,stolen_lunch,A chubby aggressive youth with a gap-toothed grin and a sleeveless vest. Large heavy fists and a swaggering posture. Exaggerated suburban-fantasy aesthetic.
skeletal_sentry,Skeletal_Sentry,Enemy,forest,25,5,0,"gold (2-8), skull",A bleached-white skeleton wearing a rusted half-helm. Green spectral flames flicker in the ribcage; holding a spear with a moss-covered shaft.
giant_bee,Giant_Bee,Enemy,forest,15,12,0,honey,An oversized fuzzy bee with iridescent wings and a menacing barbed stinger. Exaggerated compound eyes reflecting the forest canopy; vibrant yellow and black contrast.
cultist,Cultist,Enemy,forest,30,7,0,"scroll, gold (5-12)",A figure in deep crimson robes embroidered with golden eyes. Face hidden by a wooden bird mask; clutching a glowing violet scroll.
shadow_wraith,Shadow_Wraith,Enemy,forest,40,9,0,shadow_essence,A wispy amorphous cloud of smoke with elongated claw-like hands. Two pin-prick white eyes are the only solid features; edges blur into the background.
dryad_corruptor,Corrupted_Dryad,Enemy,forest,45,8,0,emerald_seed,A humanoid figure made of gnarled blackened wood and wilted autumn leaves. Glowing purple veins pulse through the bark; tragic but menacing expression.
briar_beast,Briar_Beast,Enemy,forest,55,10,3,vine,A quadrupedal predator made of interwoven thorny vines. A singular glowing core acting as a heart; sharp wooden fangs and a bramble tail.
feral_hound,Feral_Hound,Enemy,forest,20,11,0,pelt,A wolf-like creature with elongated limbs and glowing red eyes. Saliva dripping from a maw full of realistic needle-teeth; sleek dark fur.
spore_servant,Spore_Servant,Enemy,forest,35,6,0,mushroom,A fungal-infected zombie with large glowing mushrooms sprouting from its shoulders. A vacant stare and a trail of colorful toxic spores following its movement.
river_lurker,River_Lurker,Enemy,forest,40,9,0,pearl,A reptilian humanoid with slick teal scales and webbed hands. Large bulbous eyes on the sides of the head; wearing necklaces made of river stones.
brood_mother,Brood_Mother,Enemy,forest,100,15,0,"silk, venom",A massive spider with a bloated abdomen covered in tiny unhatched eggs. Multiple glowing eyes and dripping fangs; dark velvet textures.
ice_golem,Ice_Golem,Enemy,ice_caves,80,12,8,"gold (15-25), frost",A massive construct of jagged translucent blue ice. Internal fractures catch the light; heavy blocky limbs and a frozen breath effect.
yeti,Yeti,Enemy,ice_caves,120,18,0,"gold (40-80), axe",A mountain of white fur with massive blue horns and a protruding underbite. Large paws with black claws; breath creates a persistent mist.
frost_wisp,Frost_Wisp,Enemy,ice_caves,30,15,0,frozen_tear,A small floating orb of concentrated blizzard energy. Jagged ice crystals orbit the center; leaves a trail of frost on the UI.
tomb_wight,Tomb_Wight,Enemy,ice_caves,65,14,0,ancient_coin,A withered corpse in frozen rags. Skin is blue and mummified; holding a rusted ancient blade with ice-slicked edges.
mimic_frost,Frost_Mimic,Enemy,ice_caves,90,20,4,"trap, gold",A treasure chest with a jagged ice lid that opens to reveal a purple tongue and rows of diamond-sharp teeth. Icy drool hangs from the rim.
ice_bat,Ice_Bat,Enemy,ice_caves,25,10,0,shard,A bat with wings made of thin sheets of ice. Transparent body revealing frozen organs; emits a high-pitched crystalline screech.
snow_stalker,Snow_Stalker,Enemy,ice_caves,70,22,0,white_fur,A sleek panther-like beast with white fur and glowing blue stripes. Moves with a low-to-the-ground slinking animation; silent footsteps.
water_elemental,Freezing_Elemental,Enemy,ice_caves,85,16,0,vial,A swirling vortex of slush and freezing water. Suspended ice chunks act as fists; core is a bright glowing sapphire.
ghost_scholar,Ghost_Scholar,Enemy,ice_caves,50,25,0,tome,A translucent blue ghost in tattered academic robes. Clutching a glowing tome; face is a mask of eternal studious concentration.
kobold_miner,Kobold_Miner,Enemy,ice_caves,45,12,0,"ore, gold",A small lizard-man in a heavy parka and a candle-lit helmet. Gripping a pickaxe twice his size; soot-stained snout and tail.
giant_scorpion,Giant_Scorpion,Enemy,desert,110,25,10,"poison_gland, heart",A massive arachnid with a sandy chitinous shell. Stinger glows with a neon-green toxin; realistic desert weathering on the carapace.
sand_spirit,Sand_Spirit,Enemy,desert,70,30,0,potion,A humanoid torso emerging from a sand-devil. Face is a hollow porcelain mask; hands are made of swirling golden dust.
skeleton_soldier,Desert_Soldier,Enemy,desert,90,22,0,rusty_sword,A skeleton in ancient sun-bleached bronze armor. Wearing a tattered kaffiyeh; holding a curved scimitar with a notched edge.
fire_imp,Fire_Imp,Enemy,desert,50,35,0,bomb,A small winged demon with skin like cooling lava. Carrying a round black bomb with a sputtering fuse; manic wide-eyed expression.
mummy_king,Mummy_King,Enemy,desert,200,30,5,golden_bandage,A tall figure wrapped in fine linen and gold chains. Wearing a heavy jewel-encrusted pharaoh's mask; slow regal movements.
dust_devil,Dust_Devil,Enemy,desert,60,28,0,sand_glass,A whirling cyclone of grit and debris. Sharp rocks and glass shards spin within the funnel; two glowing orange eyes in the center.
scarab_swarm,Scarab_Swarm,Enemy,desert,40,40,0,carapace,A literal carpet of iridescent green and gold beetles. Chitinous clicking sounds and shimmering metallic reflections.
ghoul,Desert_Ghoul,Enemy,desert,85,24,0,rotten_flesh,A gaunt gray-skinned humanoid with elongated limbs and a protruding tongue. Crouched in a predatory pounce; wearing scraps of nomad cloth.
salt_golem,Salt_Golem,Enemy,desert,150,20,15,salt_crystal,A blocky giant made of white crystalline salt cubes. Rubbing sound of stone on stone; sharp geometric edges and glowing amber eyes.
shard_beast,Shard_Beast,Enemy,desert,100,32,0,glass_shard,A wolf-shaped construct made entirely of obsidian and glass shards. Highly reflective surface that catches the desert sun.
mud_walker,Mud_Walker,Enemy,swamp,140,25,5,peat,A dripping mass of sludge and peat in a vaguely humanoid shape. Mossy branches for arms and a single sunken glowing eye.
bog_horror,Bog_Horror,Enemy,swamp,180,35,0,moss,A terrifying mix of elk and alligator parts covered in hanging swamp moss. Massive antlers and a toothy maw; dark muddy palette.
willow_wisp,Willow_Wisp,Enemy,swamp,50,45,0,light_dust,A flickering greenish-blue orb of light. Core contains a tiny screaming face; leaves a trail of swamp gas.
giant_croc,Giant_Crocodile,Enemy,swamp,220,40,12,leather,A massive ancient croc with wooden-looking scales. Covered in lily pads and swamp weeds; yellow slit eyes.
mist_stalker,Mist_Stalker,Enemy,swamp,110,38,0,vapor,A translucent entity that looks like swirling gray fog. Elongated fingers and a featureless face; nearly invisible against the background.
leech_swarm,Leech_Swarm,Enemy,swamp,60,50,0,blood_vial,A cluster of fat pulsing black slugs with circular tooth-lined maws. Slime-slicked textures and wet sound effects.
